"Mahalanobis" "pvalue"
"1" 2.6082 0.456054
"2" 6.2155 0.101584
"3" 4.9841 0.172965
"4" 13.4181 0.003814
"5" 3.4158 0.331848
"6" 2.9616 0.397584
"7" 7.353 0.061458
"8" 5.5193 0.137489
"9" 1.1977 0.753556
"10" 4.8221 0.185297
"11" 2.1429 0.543283
"12" 0.9927 0.803018
"13" 0.4393 0.93201
"14" 2.3792 0.497518
"15" 7.9528 0.046997
"16" 6.2852 0.09853
"17" 2.3163 0.509405
"18" 0.5452 0.908855
"19" 2.6804 0.443568
"20" 1.1282 0.770271
"21" 5.1032 0.164394
"22" 1.7822 0.618816
"23" 2.6552 0.447894
"24" 7.8082 0.050146
"25" 2.5057 0.474262
"26" 1.3782 0.710653
"27" 5.6605 0.129348
"28" 4.3852 0.222762
"29" 4.251 0.235605
"30" 9.9554 0.018949
"31" 3.8065 0.283131
"32" 2.7639 0.429477
"33" 4.8235 0.185187
"34" 1.1366 0.768247
"35" 2.2219 0.527648
"36" 3.6395 0.303115
"37" 7.4171 0.059727
"38" 5.9339 0.114871
"39" 5.3047 0.150798
"40" 1.6524 0.647568
"41" 4.4912 0.213077
"42" 4.9561 0.17504
"43" 7.028 0.071011
"44" 2.3769 0.497949
"45" 4.6342 0.200628
"46" 6.1291 0.105495
"47" 4.9734 0.173755
"48" 4.3866 0.222631
"49" 11.3245 0.010095
"50" 0.9972 0.801929
"51" 4.0922 0.251679
"52" 5.2699 0.153068
"53" 3.976 0.264067
"54" 3.4383 0.328853
"55" 0.5012 0.918628
"56" 4.4775 0.214306
"57" 0.9524 0.812768
"58" 4.4941 0.212817
"59" 0.6223 0.891309
"60" 2.1835 0.535206
"61" 2.0345 0.565277
"62" 3.4603 0.325948
"63" 1.7798 0.619341
"64" 2.4923 0.476684
"65" 4.3443 0.226606
"66" 2.8369 0.417461
"67" 6.0347 0.109934
"68" 2.0983 0.552257
"69" 9.1555 0.027293
"70" 7.8349 0.04955
"71" 2.78 0.426803
"72" 4.5492 0.207944
"73" 5.6958 0.127386
"74" 5.0626 0.16727
"75" 3.621 0.305405
"76" 6.9933 0.072112
"77" 3.1159 0.374099
"78" 2.5334 0.469285
"79" 1.8872 0.596145
"80" 5.4032 0.144544
"81" 7.5904 0.055281
"82" 0.8281 0.842735
"83" 7.6042 0.054941
"84" 8.1581 0.042855
"85" 3.963 0.265487
"86" 3.1858 0.363856
"87" 2.0779 0.556397
"89" 1.2158 0.749217
"90" 0.5206 0.914343
"91" 4.1925 0.241414
"92" 26.0943 9e-06
"93" 1.4986 0.682593
"94" 6.5282 0.088557
"95" 3.5637 0.312594
"96" 0.8974 0.826055
"97" 2.3556 0.501953
"98" 3.2937 0.34852
"99" 1.0134 0.79801
"100" 3.0192 0.388674
"101" 3.4156 0.331875
"102" 6.0483 0.109284
"103" 2.2089 0.530197
"104" 7.8731 0.048708
"105" 2.791 0.424984
"106" 4.1758 0.243096
"107" 4.2118 0.239483
"108" 0.6749 0.879091
"109" 6.7678 0.079679
"110" 4.4423 0.217495
"111" 1.8708 0.599651
"112" 0.2637 0.966704
"113" 5.6415 0.130416
"114" 10.5918 0.014151
"115" 5.9026 0.116446
"116" 6.8282 0.07758
"117" 2.5238 0.471005
"118" 7.5682 0.055832
"119" 3.6008 0.307922
"120" 3.1561 0.368178
"121" 1.6456 0.649095
"122" 16.5152 0.000889
"123" 3.527 0.317277
"124" 16.4426 0.00092
"125" 4.5509 0.207795
"126" 1.7201 0.632474
"127" 20.2106 0.000154
"128" 4.8858 0.180353
"129" 2.0756 0.556865
"130" 3.6706 0.299301
"131" 0.8263 0.843167
"132" 4.8897 0.180054
"133" 10.2219 0.016771
"134" 3.0983 0.376716
"135" 2.052 0.561684
"136" 0.5547 0.90672
"137" 7.2154 0.06534
"138" 5.3839 0.14575
"139" 8.3899 0.038605
"140" 3.1457 0.369702
"141" 2.3472 0.503539
"142" 6.2964 0.098047
"143" 3.374 0.337475
"144" 3.1179 0.373802
"145" 3.2651 0.35253
"146" 2.5292 0.470037
"147" 6.3286 0.096673
"148" 3.596 0.308523
"149" 3.6415 0.302868
"150" 7.0009 0.071869
"151" 3.884 0.274266
"152" 8.0447 0.045097
"153" 41.5999 0
"154" 3.7122 0.294265
"155" 6.3069 0.097597
"156" 6.5581 0.087399
"157" 2.9023 0.406935
"158" 3.0585 0.382693
"159" 2.4616 0.482271
"160" 4.5344 0.209242
"161" 3.9507 0.266837
"162" 11.4076 0.009714
"163" 2.9152 0.404885
"164" 5.1269 0.162737
"165" 1.7158 0.633427
"166" 2.4147 0.490904
"168" 1.5048 0.681163
"169" 7.1842 0.066253
"170" 5.4119 0.144004
"171" 6.1745 0.103422
"172" 7.2329 0.064834
"173" 8.1926 0.042195
"174" 8.2507 0.041105
"175" 2.5389 0.468302
"176" 11.2172 0.010608
"177" 2.2846 0.515478
"178" 5.5432 0.136077
"179" 5.2008 0.15767
"180" 1.4766 0.687681
"181" 1.2731 0.73553
"182" 10.4705 0.014962
"183" 4.257 0.235017
"184" 12.5196 0.0058
"185" 4.6458 0.199648
"186" 6.4137 0.093129
"187" 4.7193 0.193544
"188" 7.3616 0.061223
"189" 17.0951 0.000676
"190" 3.385 0.335986
"191" 1.8437 0.605472
"192" 9.951 0.018987
"194" 4.4651 0.215424
"195" 5.101 0.164549
"196" 8.2246 0.041591
"197" 6.7066 0.081861
"198" 2.3917 0.495182
"199" 0.8465 0.838316
"200" 6.6476 0.08402
"201" 2.0682 0.558373
"202" 10.9587 0.011951
"203" 9.6576 0.021713
"204" 3.8368 0.279635
"205" 2.8735 0.411543
"206" 5.688 0.127817
"207" 3.2065 0.36087
"208" 3.9935 0.262167
"209" 0.9508 0.813154
"210" 1.7701 0.621463
"211" 4.0973 0.251147
"212" 14.3085 0.002514
"213" 4.0467 0.256465
"214" 9.2342 0.026334
"215" 1.861 0.601751
"216" 3.5578 0.313343
"217" 3.6049 0.30741
"218" 2.4376 0.486674
"219" 3.1117 0.374722
"220" 3.6514 0.30165
